,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1464,Murugeshpalya,"6,500 - 16,000",11611.11,"14,800 - 26,000",20360,35000,35000,12.9613,77.6561
1465,Basapura,"3,500 - 7,500",6166.67,"13,000 - 35,000",21210,"18,000 - 19,000",18500,12.8648,77.651
1466,RMV Extension Stage 2,"6,500 - 12,000",8916.67,12500,12500,"23,000 - 45,000",34000,13.0422,77.57
1467,Bannerughatta,"4,500 - 8,000",6250,"12,000 - 25,000",18500,"12,000 - 15,000",13500,12.8052,77.5788
1468,KPC Layout,"9,000 - 15,000",11285.71,"17,000 - 19,000",18333.33,"24,000 - 35,000",27800,12.9067,77.6757
1469,Kundalahalli,12000,12000,"22,000 - 28,000",24333.33,-,-,12.969,77.7209
1470,Phase 7,"8,500 - 22,000",13333.33,"8,500 - 22,000",14166.67,"22,500 - 23,000",22750,12.8872,77.5899
1471,Sadashiva Nagar,-,-,"46,000 - 56,000",51000,"61,000 - 90,000",75500,13.0068,77.5813
1472,Adugodi,"10,000 - 15,000",12333.33,23000,23000,45000,45000,12.942,77.6083
1473,Parappana Agrahara,"3,000 - 12,500",7750,"6,500 - 15,000",9433.33,"13,500 - 36,000",24750,12.8735,77.6581
1474,Thirupalya,"9,000 - 20,000",16333.33,"15,000 - 21,000",1871.43,"10,500 - 18,500",14500,12.8224,77.6665
1475,West Bangalore,9000,9000,"11,000 - 20,000",15750,"16,500 - 30,000",23250,0.0,0.0
1476,Kuvempu Layout on Hennur Main Road,-,-,"18,000 - 20,000",19000,"23,000 - 50,000",36500,0.0,0.0
1477,Hosur,-,-,"21,000 - 29,000",25000,12000,12000,0.0,0.0
1478,Byrathi,"5,500 - 14,000",10000,14500,14500,25000,25000,13.0529,77.6501
