,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1433,Sathnur Village,7500,7500,-,-,-,-,13.1283,77.6319
1434,singapura,15000,15000,18000,18000,-,-,13.0747,77.5377
1435,Sinthan Nagar,22000,22000,27000,27000,18000,18000,13.0505,77.6304
1436,Sivanchetti Gardens,"17,000 - 18,000",17500,18000,18000,-,-,12.9809,77.6155
1437,Sorahunase,7800,7800,-,-,-,-,12.9474,77.7544
1438,South Avenue,-,-,"10,000 - 18,000",14000,-,-,12.8579,77.5834
1439,Srirampura,13000,13000,15999,15999,-,-,12.9948,77.5664
1440,thirumenahalli,-,-,-,-,19000,19000,13.0904,77.6278
1441,Thubarahalli,18000,18000,19000,19000,-,-,12.952,77.7209
1442,Tunganagara,15000,15000,30000,30000,-,-,12.988,77.4853
1443,Ullal Uppanagar,7000,7000,12000,12000,-,-,12.96,77.476
1444,Venkateswara Layout,13000,13000,20000,20000,-,-,12.8842,77.6499
1445,Venugopal Reddy Layout,15000,15000,19000,19000,-,-,12.8862,77.5999
1446,Vishwapriya Nagar,-,-,11500,11500,23000,23000,12.8812,77.6278
1447,Vyalikaval,-,-,25000,25000,-,-,13.004,77.5756
1448,Yadavanahalli,-,-,10000,10000,-,-,12.7897,77.7524
1449,Jeevan Bima Nagar,-,-,25000,25000,-,-,12.9642,77.6581
1450,Bennigana Halli,"11,500 - 23,000",17250,-,-,23000,23000,12.9967,77.654
1451,JP Nagar Phase 3,-,-,30000,30000,-,-,12.9122,77.5923
1452,Ashwini Layout,-,-,"24,000 - 26,000",25333.33,-,-,12.9402,77.6289
1453,Bande Nalla Sandra,-,-,12000,12000,"18,000 - 20,000",19000,12.7906,77.6522
1454,Basaveshwara Nagar Yelahanka,15000,15000,-,-,-,-,13.09,77.6056
1455,Bedarahalli,-,-,-,-,16000,16000,12.9812,77.4851
1456,Bhoganhalli,-,-,-,-,45000,45000,12.9257,77.7003
1457,Bhoopasandra,16000,16000,17000,17000,30000,30000,13.0436,77.5813
1458,BTM 2nd Stage Mico Layout,"10,500 - 15,500",13000,14500,14500,-,-,12.9128,77.6043
1459,Byadarahalli,12000,12000,-,-,-,-,12.9902,77.4794
1460,Crimson Layout,7000,7000,-,-,24000,24000,12.9849,77.7658
1461,Doddakannalli,12000,12000,23000,23000,-,-,12.9063,77.6985
1462,Domlur I Stage,"19,000 - 22,000",20500,"37,000 - 40,000",38500,-,-,12.9594,77.6379
1463,Electronic City Phase I,"5,500 - 10,000",7750,-,-,-,-,12.8431,77.6565
1464,Essel Gardens,7000,7000,-,-,-,-,13.0545,77.6668
1465,Gandhi Bazar,-,-,"15,000 - 24,000",18666.67,-,-,12.9456,77.5713
