,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude,Venues,Food Services,Shopping Services,Leisure Services,General Services
991,Malleswaram,"6,000 - 16,000",10333.33,"10,000 - 30,000",20000,30000,30000,13.0055,77.5692,"['South Indian Restaurant', 'Snack Place', 'Indian Restaurant', 'Indian Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Vegetarian / Vegan Restaurant', 'Fast Food Restaurant', 'Donut Shop', 'Coffee Shop', 'Indian Restaurant', 'Bakery', 'Ice Cream Shop', 'Café', 'Vegetarian / Vegan Restaurant', 'Ice Cream Shop', 'Chinese Restaurant', 'Flea Market', 'Performing Arts Venue', 'Ice Cream Shop', 'South Indian Restaurant', 'Dessert Shop', 'Coffee Shop', 'Indian Restaurant', 'Vegetarian / Vegan Restaurant', 'Indian Restaurant', 'Gourmet Shop', 'Department Store']",27.0,2.0,1.0,0.0
992,Subramanyapura,"6,000 - 9,500",8166.67,"9,000 - 16,000",12500,"15,000 - 28,000",23000,12.8965,77.5407,"['Asian Restaurant', 'Sports Club', 'Food Truck']",2.0,0.0,1.0,0.0
993,Basavanagudi,"4,500 - 20,000",13166.67,"15,000 - 20,000",17750,"35,000 - 36,000",35500,12.9406,77.5738,"['Indian Restaurant', 'Indian Restaurant', 'Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Sandwich Place', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Farmers Market', 'Ice Cream Shop', 'Asian Restaurant', 'Indian Restaurant', 'Breakfast Spot', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Juice Bar', 'Tea Room', 'Indian Restaurant', 'Indian Restaurant', 'Hookah Bar', 'Sandwich Place', 'Plaza', 'Café', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Italian Restaurant', 'Indian Restaurant', 'Fast Food Restaurant', 'Accessories Store', 'Indian Restaurant']",32.0,2.0,1.0,0.0
994,Jalahalli,"4,000 - 10,000",6333.33,8500,8500,"16,000 - 32,000",25454.55,13.0528,77.5419,"['Plaza', 'Indie Movie Theater', 'Playground', 'Indian Restaurant']",1.0,0.0,3.0,0.0
995,East Bangalore,12000,12000,18000,18000,"18,000 - 40,000",29000,13.0012,77.6183,"['Indian Restaurant', 'Park', 'Ice Cream Shop', 'Pakistani Restaurant', 'Middle Eastern Restaurant', 'Café', 'Tea Room', 'Juice Bar', 'Shopping Mall', 'Indian Restaurant', 'Fast Food Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Hyderabadi Restaurant', 'Indian Restaurant', 'BBQ Joint', 'Snack Place', 'Bakery', 'Bakery', 'Indian Restaurant', 'Middle Eastern Restaurant', 'Ice Cream Shop', 'Indian Restaurant', 'Indian Restaurant', 'Indian Restaurant', 'Tea Room', 'Fast Food Restaurant', 'Sandwich Place', 'Mediterranean Restaurant', 'Gym', 'Pub', 'BBQ Joint', 'Chinese Restaurant', 'Chinese Restaurant', 'Café', 'Chinese Restaurant', 'South Indian Restaurant', 'Department Store', 'Middle Eastern Restaurant', 'Coffee Shop', 'Café', 'Vegetarian / Vegan Restaurant', 'Convenience Store', 'Pizza Place', 'New American Restaurant', 'Department Store', 'Coffee Shop', 'Playground', 'Intersection', 'Pharmacy', 'Pharmacy']",41.0,4.0,3.0,3.0
996,Attibele,7000,7000,"7,000 - 4 L",59475,10000,10000,12.782,77.7719,"['South Indian Restaurant', 'Bakery', 'South Indian Restaurant', 'Indian Restaurant']",4.0,0.0,0.0,0.0
997,ITPL,14500,14500,"20,900 - 30,000",26150,"21,000 - 65,000",4042.11,12.9859,77.7355,"['BBQ Joint', 'Restaurant', 'Pizza Place', 'Hotel', 'Ice Cream Shop', 'Indian Restaurant', 'Mexican Restaurant', 'Hotel', 'Bowling Alley', 'Sandwich Place', 'Falafel Restaurant', 'Café', 'BBQ Joint', 'Indian Restaurant', 'Shopping Mall', 'Indian Restaurant', 'Australian Restaurant', 'Fast Food Restaurant', 'Hotel', 'Indian Restaurant', 'Café', 'American Restaurant', 'Indian Restaurant', 'Playground', 'Kerala Restaurant', 'Cafeteria', 'Indian Restaurant', 'Bus Station', 'Gym', 'Food Court', 'Mediterranean Restaurant', 'Hotel', 'Hotel']",23.0,1.0,8.0,1.0
998,Yeshwantpur,-,-,"12,000 - 34,000",27325,"24,000 - 60,000",39791.04,13.025,77.53399999999998,"['Sporting Goods Shop', 'Grocery Store', 'Light Rail Station']",0.0,2.0,0.0,1.0
999,Battarahalli,"5,000 - 14,000",8916.67,18000,18000,14000,14000,13.0245,77.7073,"['Indian Restaurant', 'Pizza Place', 'Café', 'Hotel', 'Café']",4.0,0.0,1.0,0.0
1000,Electronics City Phase 1,"5,500 - 10,000",7600,"11,000 - 13,500",12250,"16,000 - 35,000",25500,12.8431,77.6565,"['Asian Restaurant', 'Pizza Place', 'Café', 'Department Store', 'Juice Bar', 'Café', 'Asian Restaurant', 'Fast Food Restaurant', 'Coffee Shop', 'Fast Food Restaurant', 'Fast Food Restaurant', 'Breakfast Spot', 'Indian Restaurant', 'Indian Restaurant', 'Hotel', 'Hotel', 'Fast Food Restaurant', 'Food', 'Snack Place', 'Restaurant', 'Market']",17.0,2.0,2.0,0.0
1001,Vidyaranyapura,"4,200 - 14,500",9522.22,"8,500 - 25,000",14227.27,"12,500 - 30,000",21625,13.0811,77.5562,"['Pizza Place', 'Coffee Shop', 'Café', 'Ice Cream Shop', 'Bus Station', 'Indian Restaurant', 'Department Store', 'Dessert Shop', 'Gym', 'Chinese Restaurant']",7.0,1.0,1.0,1.0
1002,Hosa Road,8500,8500,8500,8500,"18,000 - 30,000",22360,12.8706,77.6558,"['Tourist Information Center', 'Department Store', 'Food Court', 'Dog Run', 'Bar']",2.0,1.0,1.0,1.0
1003,Hennur,"4,000 - 16,000",1083.33,"10,000 - 22,000",14950,41000,41000,13.0359,77.6431,"['Bakery', 'Hotel', 'Big Box Store', 'Auto Garage']",1.0,1.0,1.0,1.0
1004,Doddanekundi,"13,500 - 20,000",15375,"16,000 - 17,000",16500,"12,600 - 36,000",28713.46,12.9721,77.6944,"['Motorcycle Shop', 'Indian Restaurant', 'Mediterranean Restaurant', 'Fried Chicken Joint', 'Coffee Shop', 'Indian Restaurant', 'Café', 'Park', 'Department Store', 'Hotel', 'Movie Theater', 'Breakfast Spot', 'Hyderabadi Restaurant']",8.0,2.0,3.0,0.0
